cycle,N,Nm,Nf,g,pi,mean_fitness,mean_froh,B,het,m2_ind,m3_ind,m4_ind,m5_ind,m6_ind
126000,32286,10151,7184,2.14197,0.00020088,0.378752,0.00499865,0.0276723,0.000200876,135.29,1.89299,0.678498,0.149074,0.0153937
127000,30350,9345,6859,2.13059,0.000201468,0.418773,0.0059663,0.0319022,0.000201465,135.633,1.68998,0.586194,0.124712,0.0269193
128000,29096,8907,6570,2.14531,0.000202206,0.452354,0.00615193,0.0276444,0.000202202,135.402,1.42233,0.635345,0.105203,0.0235084
129000,30530,9337,6843,2.11224,0.000203079,0.434546,0.00561849,0.0258858,0.000203075,135.037,1.24216,0.70511,0.0893547,0.0229938
130000,31146,9849,6905,2.14611,0.000203851,0.479856,0.00617421,0.0192422,0.000203848,136.7,1.25628,0.70298,0.122712,0.004206
131000,27904,8631,6245,2.16577,0.000204376,0.449719,0.00622971,0.0214267,0.000204372,139.706,1.52928,0.746667,0.102279,0.00999857
132000,27392,8526,6063,2.14141,0.00020502,0.460463,0.00645519,0.0281591,0.000205017,140.047,1.67527,0.64935,0.137522,0.018144
133000,32068,9847,7253,2.16912,0.00020568,0.430833,0.0059578,0.0256211,0.000205677,139.993,1.69649,0.630722,0.0739678,0.0236996
134000,30125,9343,6682,2.14271,0.000206434,0.381614,0.00573524,0.0248895,0.000206431,141.923,1.61125,0.492946,0.137859,0.015668
135000,32395,9820,7288,2.12468,0.00020698,0.449741,0.00546626,0.0329124,0.000206977,146.259,1.44575,0.609261,0.166137,0.0280908
136000,33292,10380,7457,2.14655,0.000207727,0.502608,0.00570514,0.020697,0.000207724,147.173,1.28145,0.706116,0.110267,0.00675838
137000,30872,9542,6961,2.12864,0.000208316,0.450305,0.00545012,0.0197714,0.000208313,149.454,1.46149,0.649812,0.079943,0.0109484
138000,31876,9878,7236,2.14094,0.000209045,0.461198,0.0043976,0.0254494,0.000209042,148.275,1.33458,0.651682,0.132984,0.0144309
139000,31661,9823,7108,2.13697,0.000209558,0.434903,0.00449076,0.0341114,0.000209555,148.616,1.31307,0.772812,0.179969,0.0225198
140000,25993,8091,5900,2.14609,0.000210161,0.414095,0.00434814,0.031718,0.000210157,148.105,1.35852,0.664371,0.0879852,0.0338553
141000,35834,10949,8078,2.1265,0.000210468,0.546484,0.00406734,0.0160289,0.000210465,148.969,1.60311,0.565496,0.0971982,0.00253949
142000,34321,10579,7667,2.15017,0.000211079,0.443053,0.00411678,0.0203214,0.000211076,148.642,1.63288,0.602255,0.0939658,0.00949856
143000,29672,9094,6756,2.1364,0.000211579,0.381621,0.00406935,0.016495,0.000211576,150.343,1.68496,0.558338,0.111351,0.00262874
144000,24417,7663,5474,2.1374,0.00021194,0.46591,0.00411707,0.0219834,0.000211936,152.687,1.63591,0.716837,0.0722857,0.0156858
145000,35185,10871,7865,2.16172,0.000212387,0.48512,0.00356862,0.0215181,0.000212384,151.939,1.60546,0.768197,0.100668,0.0125622
146000,30135,9252,6760,2.14458,0.000212861,0.472676,0.00325195,0.0250708,0.000212857,152.956,1.65711,0.690194,0.134594,0.0114485
147000,32835,10084,7388,2.09947,0.000213734,0.463778,0.00357532,0.0254207,0.000213731,152.394,1.53708,0.659571,0.0843917,0.0207705
148000,30006,9405,6777,2.12854,0.000214054,0.482397,0.00362967,0.0281693,0.000214051,155.961,1.56382,0.722855,0.116977,0.0203626
149000,27824,8568,6208,2.1158,0.000214598,0.456048,0.00342206,0.0299683,0.000214594,157.436,1.61832,0.819257,0.112313,0.0249425
150000,26235,8070,5921,2.16132,0.000215313,0.354519,0.00331547,0.0382883,0.000215309,157.811,1.71195,0.836935,0.133676,0.0349914
151000,29846,8949,6850,2.10532,0.000215713,0.40811,0.00367436,0.0280833,0.00021571,159.045,1.54731,0.724084,0.13439,0.0205388
152000,30221,9246,6814,2.13792,0.000216162,0.386751,0.00421137,0.0248869,0.000216159,158.777,1.63949,0.743357,0.171272,0.00909963
153000,29878,9027,6774,2.15271,0.000216807,0.431791,0.00398932,0.0261506,0.000216803,160.198,1.74965,0.764208,0.112993,0.0193788
154000,28099,8675,6282,2.12636,0.000217373,0.384181,0.00407718,0.0244665,0.000217369,161.647,1.93146,0.833197,0.158333,0.00758034
155000,30669,9308,6992,2.13607,0.000217726,0.389018,0.0043148,0.0271725,0.000217722,163.199,1.84385,0.794255,0.176008,0.00926016
156000,32131,9987,7167,2.15227,0.000218258,0.461469,0.00403399,0.0239093,0.000218255,166.621,1.64302,0.557343,0.132302,0.012698
157000,29826,9092,6678,2.15479,0.000218772,0.374487,0.00433436,0.0343507,0.000218768,165.928,1.71649,0.469154,0.136793,0.0317508
158000,29019,9094,6450,2.1452,0.000218994,0.431301,0.00520245,0.0260037,0.000218991,166.18,1.65616,0.488645,0.1152,0.0200903
159000,33696,10468,7609,2.1565,0.000219258,0.547754,0.00541972,0.0158353,0.000219255,166.249,1.84538,0.596451,0.0973113,0.00299739
160000,33245,10349,7468,2.12926,0.000219705,0.504628,0.0062595,0.0212968,0.000219702,164.606,1.64626,0.629358,0.133133,0.00493307
161000,30356,9329,6822,2.13491,0.000220177,0.4289,0.00597207,0.0189862,0.000220173,164.254,1.38941,0.494169,0.17756,0.00095533
162000,30552,9370,6853,2.12396,0.000220776,0.484606,0.00468268,0.0246628,0.000220773,165.244,1.38993,0.726172,0.142249,0.0125687
163000,28350,8735,6369,2.14089,0.000221201,0.438947,0.00524536,0.0279632,0.000221197,164.689,1.20501,0.746737,0.15231,0.0175309
164000,30124,9254,6767,2.14993,0.000221741,0.404341,0.00488266,0.0188555,0.000221737,165.787,1.22437,0.697782,0.119838,0.00225734
165000,32106,9858,7339,2.13648,0.000222026,0.485484,0.00518092,0.0247642,0.000222023,168.64,1.33835,0.763502,0.121317,0.0122096
166000,31098,9511,7123,2.14038,0.000222505,0.446863,0.00526446,0.029057,0.000222502,170.786,1.34841,0.710689,0.143064,0.0194225
167000,26891,8340,6063,2.12761,0.000222917,0.418124,0.00465699,0.0357363,0.000222913,171.004,1.22238,0.807333,0.182143,0.0280763
168000,31203,9661,6925,2.12794,0.000223304,0.431669,0.00419777,0.0278092,0.0002233,172.661,1.29677,0.712079,0.114893,0.0207993
169000,35606,10991,7999,2.1376,0.000223996,0.48598,0.00325556,0.0273508,0.000223992,174.896,1.14472,0.713138,0.215666,0.00668427
170000,32014,9845,7121,2.13881,0.000224732,0.459056,0.00309874,0.0245608,0.000224729,174.942,1.39683,0.734647,0.19682,0.00406072
171000,36835,11169,8288,2.1509,0.000224897,0.487918,0.00290363,0.0233389,0.000224894,176.816,1.29328,0.67406,0.135143,0.00952898
172000,31947,9894,7158,2.13553,0.000225065,0.489594,0.00308755,0.0419508,0.000225062,177.772,1.51285,0.664225,0.217235,0.0359345
173000,29852,9180,6667,2.14981,0.000225638,0.440279,0.00290167,0.0318037,0.000225634,179.612,1.61932,0.713755,0.168933,0.0213051
174000,29293,8942,6643,2.12467,0.000225861,0.428148,0.00272889,0.0260625,0.000225857,180.404,1.58171,0.623391,0.10354,0.0203462
175000,26955,8473,6010,2.15432,0.000226529,0.482387,0.00323503,0.0219542,0.000226525,182.672,1.61495,0.689557,0.0651827,0.0155815
176000,29052,8990,6522,2.12519,0.000226687,0.463269,0.00386469,0.0251741,0.000226683,183.99,1.54289,0.60939,0.119613,0.0184497
177000,32574,10012,7361,2.11967,0.000226898,0.44481,0.00381368,0.0221421,0.000226895,186.718,1.79438,0.642813,0.147572,0.00211825
178000,24134,7411,5394,2.13698,0.000227555,0.340015,0.00432186,0.0235517,0.00022755,188.975,1.80749,0.653145,0.128615,0.00849424
179000,30119,9379,6757,2.1475,0.00022771,0.408266,0.00370159,0.0390123,0.000227707,189.394,1.72768,0.558053,0.167668,0.0314087
180000,31516,9777,6990,2.13425,0.000227885,0.446415,0.00327091,0.0245975,0.000227881,191.186,1.95748,0.667217,0.133202,0.012565
181000,31215,9496,7065,2.1067,0.000228301,0.510024,0.00316933,0.0193016,0.000228298,190.703,1.96543,0.575236,0.118341,0.00323562
182000,32253,9990,7232,2.13709,0.000228631,0.516044,0.00307074,0.0250859,0.000228627,192.227,1.91979,0.471553,0.248752,0.00195331
183000,33189,10052,7564,2.13613,0.00022872,0.48844,0.00347709,0.0262037,0.000228716,194.808,2.09048,0.562958,0.177378,0.00723131
184000,36771,11349,8229,2.13408,0.000229128,0.547693,0.00344098,0.0254965,0.000229125,196.82,2.00669,0.770254,0.100704,0.017269
185000,32023,9983,7196,2.1496,0.000229727,0.417513,0.00351197,0.019755,0.000229724,197.419,1.5769,0.673047,0.105612,0.0082753
186000,28233,8672,6377,2.13602,0.000230153,0.363278,0.0033276,0.0275361,0.000230149,195.646,1.76481,0.83413,0.17012,0.0105196
187000,35052,10753,7903,2.14467,0.000230712,0.538843,0.00370511,0.0256236,0.000230708,196.612,1.73425,0.693684,0.171802,0.00895812
188000,37383,11365,8522,2.15181,0.000231023,0.568025,0.00391251,0.0231316,0.00023102,197.324,1.76599,0.642244,0.0999652,0.0158093
189000,29891,9260,6687,2.1468,0.000231007,0.459887,0.00381634,0.0175203,0.000231003,197.665,1.71349,0.721187,0.109498,0.0023753
190000,32567,10071,7322,2.15127,0.000231019,0.507764,0.00405712,0.0227992,0.000231016,199.691,1.48116,0.784291,0.108085,0.00709307
