34168,734.451,656,386,5.03963,R1
34169,805.294,656,386,6.03963,R1
34170,624.908,655,386,7.02901,R1
34171,626.489,624,372,8.0016,R1
34172,745.705,613,367,8.92985,R1
34173,653.621,605,364,9.87603,R1
34174,629.074,586,354,10.7747,R1
34175,704.577,550,332,11.6291,R1
34176,674.002,459,276,12.3573,R1
34177,712.698,295,181,13.0,R1
34164,880.828,840,474,2.12262,R1
34165,824.389,889,488,2.15861,R1
34166,910.093,808,452,3.1646,R1
34167,876.472,808,452,4.1646,R1
34168,958.7,807,452,5.15366,R1
34169,947.851,805,451,6.13416,R1
34170,900.254,804,451,7.12562,R1
34171,961.794,799,448,8.08886,R1
34172,936.668,787,441,9.01398,R1
34173,808.232,771,433,9.93126,R1
34174,887.089,732,410,10.7678,R1
34175,1018.32,679,377,11.5935,R1
34176,855.22,576,321,12.342,R1
34177,930.43,379,205,13.0,R1
34164,945.906,840,474,2.12262,R1
34165,896.025,944,526,2.09216,R1
34166,1019.09,894,512,3.0604,R1
34167,780.51,894,512,4.0604,R1
34168,911.918,786,460,5.09033,R1
34169,998.479,784,459,6.07015,R1
34170,956.886,783,458,7.0613,R1
34171,1056.52,777,454,8.01544,R1
34172,798.309,769,447,8.96359,R1
34173,929.908,753,438,9.87782,R1
34174,915.791,727,419,10.7662,R1
34175,1015.89,677,384,11.6012,R1
34176,918.753,575,326,12.353,R1
34177,1019.84,372,204,13.0,R1
34164,893.393,840,474,2.12262,R1
34165,875.824,854,475,2.11475,R1
34166,869.517,851,474,3.09283,R1
34167,815.103,850,474,4.09412,R1
34168,861.104,810,463,5.08765,R1
34169,907.618,809,462,6.07787,R1
34170,729.521,807,462,7.06072,R1
34171,940.253,739,427,8.02977,R1
34172,904.746,732,422,8.98224,R1
34173,891.174,718,413,9.9039,R1
34174,760.929,692,397,10.7876,R1
34175,1013.04,648,363,11.6373,R1
34176,1032.46,541,300,12.3678,R1
34177,784.775,342,189,13.0,R1
